"","Cell","Cell_type"
"1","C_1","Macrophage"
"2","C_2","Macrophage"
"3","C_3","Macrophage"
"4","C_4","Macrophage"
"5","C_5","Macrophage"
"6","C_6","Macrophage"
"7","C_7","Macrophage"
"8","C_8","Macrophage"
"9","C_9","Macrophage"
"10","C_10","Macrophage"
"11","C_11","Macrophage"
"12","C_12","Macrophage"
"13","C_13","Macrophage"
"14","C_14","Macrophage"
"15","C_15","Macrophage"
"16","C_16","Macrophage"
"17","C_17","Macrophage"
"18","C_18","Macrophage"
"19","C_19","Macrophage"
"20","C_20","Macrophage"
"21","C_21","Macrophage"
"22","C_22","Macrophage"
"23","C_23","Macrophage"
"24","C_24","Monocyte"
"25","C_25","Macrophage"
"26","C_26","Macrophage"
"27","C_27","Macrophage"
"28","C_28","Macrophage"
"29","C_29","Macrophage"
"30","C_30","Macrophage"
"31","C_31","Monocyte"
"32","C_32","Macrophage"
"33","C_33","Macrophage"
"34","C_34","Macrophage"
"35","C_35","Macrophage"
"36","C_36","Macrophage"
"37","C_37","Macrophage"
"38","C_38","Macrophage"
"39","C_39","Macrophage"
"40","C_40","Macrophage"
"41","C_41","Macrophage"
"42","C_42","Macrophage"
"43","C_43","Macrophage"
"44","C_44","Macrophage"
"45","C_45","Macrophage"
"46","C_46","Stromal cell"
"47","C_47","Macrophage"
"48","C_48","Macrophage"
"49","C_49","Macrophage"
"50","C_50","Macrophage"
"51","C_51","Macrophage"
"52","C_52","Macrophage"
"53","C_53","Macrophage"
"54","C_54","Macrophage"
"55","C_55","Macrophage"
"56","C_56","Macrophage"
"57","C_57","Monocyte"
"58","C_58","Macrophage"
"59","C_59","Macrophage"
"60","C_60","Macrophage"
"61","C_61","Macrophage"
"62","C_62","Macrophage"
"63","C_63","Macrophage"
"64","C_64","Macrophage"
"65","C_65","Macrophage"
"66","C_66","Macrophage"
"67","C_67","Macrophage"
"68","C_68","Macrophage"
"69","C_69","Smooth muscle cell"
"70","C_70","Macrophage"
"71","C_71","Macrophage"
"72","C_72","Macrophage"
"73","C_73","Macrophage"
"74","C_74","Macrophage"
"75","C_75","Macrophage"
"76","C_76","Macrophage"
"77","C_77","Macrophage"
"78","C_78","Macrophage"
"79","C_79","Macrophage"
"80","C_80","Macrophage"
"81","C_81","Dendritic cell"
"82","C_82","Macrophage"
"83","C_83","Macrophage"
"84","C_84","Macrophage"
"85","C_85","B cell (Plasmocyte)"
"86","C_86","Macrophage"
"87","C_87","Macrophage"
"88","C_88","Macrophage"
"89","C_89","Macrophage"
"90","C_90","Macrophage"
"91","C_91","Macrophage"
"92","C_92","Macrophage"
"93","C_93","Macrophage"
"94","C_94","Macrophage"
"95","C_95","Macrophage"
"96","C_96","Macrophage"
"97","C_97","Macrophage"
"98","C_98","Macrophage"
"99","C_99","Macrophage"
"100","C_100","Macrophage"
"101","C_101","Macrophage"
"102","C_102","Macrophage"
"103","C_103","Macrophage"
"104","C_104","Macrophage"
"105","C_105","Macrophage"
"106","C_106","Macrophage"
"107","C_107","Erythroid cell"
"108","C_108","Macrophage"
"109","C_109","Macrophage"
"110","C_110","Macrophage"
"111","C_111","Macrophage"
"112","C_112","Macrophage"
"113","C_113","Macrophage"
"114","C_114","Macrophage"
"115","C_115","Macrophage"
"116","C_116","Macrophage"
"117","C_117","Macrophage"
"118","C_118","Macrophage"
"119","C_119","Macrophage"
"120","C_120","Macrophage"
"121","C_121","Macrophage"
"122","C_122","Macrophage"
"123","C_123","Macrophage"
"124","C_124","Macrophage"
"125","C_125","Macrophage"
"126","C_126","Macrophage"
"127","C_127","Macrophage"
"128","C_128","Macrophage"
"129","C_129","Macrophage"
"130","C_130","Macrophage"
"131","C_131","Macrophage"
"132","C_132","Macrophage"
"133","C_133","Macrophage"
"134","C_134","Macrophage"
"135","C_135","Macrophage"
"136","C_136","Macrophage"
"137","C_137","Macrophage"
"138","C_138","Macrophage"
"139","C_139","Macrophage"
"140","C_140","Macrophage"
"141","C_141","Macrophage"
"142","C_142","Macrophage"
"143","C_143","Macrophage"
"144","C_144","Macrophage"
"145","C_145","Macrophage"
"146","C_146","Macrophage"
"147","C_147","Macrophage"
"148","C_148","Macrophage"
"149","C_149","Macrophage"
"150","C_150","Macrophage"
"151","C_151","Macrophage"
"152","C_152","Macrophage"
"153","C_153","Monocyte"
"154","C_154","Macrophage"
"155","C_155","Macrophage"
"156","C_156","Macrophage"
"157","C_157","Macrophage"
"158","C_158","Macrophage"
"159","C_159","Macrophage"
"160","C_160","Macrophage"
"161","C_161","Macrophage"
"162","C_162","Macrophage"
"163","C_163","Macrophage"
"164","C_164","Macrophage"
"165","C_165","Macrophage"
"166","C_166","Macrophage"
"167","C_167","Macrophage"
"168","C_168","Macrophage"
"169","C_169","Macrophage"
"170","C_170","Macrophage"
"171","C_171","Macrophage"
"172","C_172","Macrophage"
"173","C_173","Macrophage"
"174","C_174","Macrophage"
"175","C_175","Macrophage"
"176","C_176","Macrophage"
"177","C_177","Macrophage"
"178","C_178","Macrophage"
"179","C_179","Macrophage"
"180","C_180","Macrophage"
"181","C_181","Macrophage"
"182","C_182","Macrophage"
"183","C_183","Macrophage"
"184","C_184","Macrophage"
"185","C_185","Macrophage"
"186","C_186","Macrophage"
"187","C_187","Macrophage"
"188","C_188","Macrophage"
"189","C_189","Macrophage"
"190","C_190","Macrophage"
"191","C_191","Macrophage"
"192","C_192","Macrophage"
"193","C_193","Macrophage"
"194","C_194","Macrophage"
"195","C_195","Macrophage"
"196","C_196","Macrophage"
"197","C_197","Macrophage"
"198","C_198","Macrophage"
"199","C_199","Macrophage"
"200","C_200","Macrophage"
"201","C_201","Macrophage"
"202","C_202","Macrophage"
"203","C_203","Macrophage"
"204","C_204","Macrophage"
"205","C_205","Macrophage"
"206","C_206","Macrophage"
"207","C_207","T cell"
"208","C_208","Macrophage"
"209","C_209","Macrophage"
"210","C_210","Macrophage"
"211","C_211","Macrophage"
"212","C_212","Macrophage"
"213","C_213","Macrophage"
"214","C_214","Macrophage"
"215","C_215","Macrophage"
"216","C_216","Macrophage"
"217","C_217","Macrophage"
"218","C_218","Macrophage"
"219","C_219","Macrophage"
"220","C_220","Macrophage"
"221","C_221","Macrophage"
"222","C_222","Macrophage"
"223","C_223","Macrophage"
"224","C_224","Macrophage"
"225","C_225","Macrophage"
"226","C_226","Macrophage"
"227","C_227","Macrophage"
"228","C_228","Macrophage"
"229","C_229","Macrophage"
"230","C_230","Macrophage"
"231","C_231","Macrophage"
"232","C_232","Macrophage"
"233","C_233","Macrophage"
"234","C_234","Macrophage"
"235","C_235","Macrophage"
"236","C_236","Macrophage"
"237","C_237","Macrophage"
"238","C_238","Macrophage"
"239","C_239","Macrophage"
"240","C_240","Macrophage"
"241","C_241","Macrophage"
"242","C_242","Macrophage"
"243","C_243","Macrophage"
"244","C_244","Macrophage"
"245","C_245","Macrophage"
"246","C_246","Macrophage"
"247","C_247","Macrophage"
"248","C_248","Macrophage"
"249","C_249","Macrophage"
"250","C_250","Macrophage"
"251","C_251","Macrophage"
"252","C_252","Macrophage"
"253","C_253","Macrophage"
"254","C_254","Macrophage"
"255","C_255","Macrophage"
"256","C_256","Macrophage"
"257","C_257","Macrophage"
"258","C_258","Macrophage"
"259","C_259","Macrophage"
"260","C_260","Macrophage"
"261","C_261","Macrophage"
"262","C_262","Macrophage"
"263","C_263","Macrophage"
"264","C_264","Macrophage"
"265","C_265","Macrophage"
"266","C_266","Macrophage"
"267","C_267","Macrophage"
"268","C_268","Macrophage"
"269","C_269","Macrophage"
